ID,ALIAS - BUSINESS,ASSOCIATES,CLASSIFIED LEVEL,EVIDENCE,INFLUENCES,LOCALITIES,NAKAMOTO INDEX,SCREEN COLOR,TEXT COLOR,Name,Description,Image
1,Mr. Anderson - 蛇口,Riggs,LEVEL 1,It's best if you don't talk about this transaction fee stuff in public. ...,State and Terrorist Conspiracies & Conspiracy as Governance (Assange 2006),"Dublin, IRL [VPN]",69,Black,White,CYPHERPUNK FILES #1,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1
2,The Gardener - ソフトウェア無線,Charlie Bravo,LEVEL 1,It's good to be coding again!,Patterns of Integrity: Separation of Duties (Szabo 2004),"Bochum, DEU [Relay]",35,Black,White,CYPHERPUNK FILES #2,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/2
3,Mr. Z - メール暗号化,Van Helsing,LEVEL 1,Lost coins only make everyone else's coins worth slightly more.  Think o...,"Capability-based Financial Instruments (Morningstar, Frantz, and Miller 2000)","Stanford, USA [Tor]",36,Black,White,CYPHERPUNK FILES #3,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/3
4,Goldszmith - スマートコントラクト,The Face,LEVEL 2,A lot of the core interest in Bitcoin is going to be from the privacy cr...,How to Time-Stamp a Digital Document (Haber and Stornetta 1991),"Arcadia, USA [Relay]",71,Black,White,CYPHERPUNK FILES #4,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/4
5,The Repeater - タイムスタンプ,Godspeed,LEVEL 3,The utility of the exchanges made possible by Bitcoin will far exceed th...,The Cyphernomicon (May 1994),"Paris, FRA [Relay]",75,Black,White,CYPHERPUNK FILES #5,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/5
6,Max Power - 機密取引,The Hawk,LEVEL 2,"If you're so paranoid that you're getting hysterical over this, then sur...",Against Intellectual Property (Kinsella 2008),"Stanford, USA [Tor]",62,Black,White,CYPHERPUNK FILES #6,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/6
7,Next of Kin - サイバー法,The Belgian,LEVEL 1,We don't want to reflect badly on the reliability of the network if it t...,Designing Trusted Services with Group Controls (Szabo 2000),"Santa Barbara, USA [Proxy]",51,Black,White,CYPHERPUNK FILES #7,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/7
8,Mt. Mox - 消える会話,M,LEVEL 2,"The public can see that someone is sending an amount to someone else, bu...",An Austrian Perspective on the History of Economic Thought (Rothbard 1995),"East Patchogue, USA [Proxy]",33,Black,White,CYPHERPUNK FILES #8,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/8
9,Mr. Toad - ブートストラップ,Next of Kin,LEVEL 1,"You got a lot done with the Linux build, autostart, minimize to tray, se...",RPOW - Reusable Proofs of Work (Finney 2004),"Exeter, GBR [Tor]",51,Black,White,CYPHERPUNK FILES #9,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/9
10,The Parakeet - データ避難所,Running Man,LEVEL 3,"I don't know Xunie, but he hasn't posted for months and he was a goofball",Crypto Anarchy and Virtual Communities (May 1994),"Amsterdam, NLD [Tor]",46,Black,White,CYPHERPUNK FILES #10,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/10
11,Sasquatch - 匿名転送,The Godfather II,LEVEL 3,I really like that he explains the concept that the cost of electricity ...,"Cyberspace, Crypto Anarchy, and Pushing Limits (May 1994)","Princeton, USA [I2P]",64,Black,White,CYPHERPUNK FILES #11,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/11
12,Mochi - 数学,The Heater,LEVEL 4,"Until now, no scarce commodity that can be traded over a communications ...",The Machinery of Freedom (Friedman 1989),"Langley, USA [Tor]",36,Black,White,CYPHERPUNK FILES #12,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/12
13,Sandstorm - スマートライフル,Stic Man,LEVEL 2,The solution we propose begins with a timestamp server.,"Cyberspace, Crypto Anarchy, and Pushing Limits (May 1994)","Toronto, CAN [Proxy]",44,Black,White,CYPHERPUNK FILES #13,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/13
